"ID","default_flag","pred_br","score_pd","QTR","score_date","score_year","BAND","current_balance","MONTH","feature1_wt","feature2_wt"
"1","0","0.215297","0.227126","4","26-02-2019","2019","2","86253","2","0","0"
"2","0","0.323188","0.328717","3","23-12-2019","2019","3","65942","12","0","0"
"3","0","0.610092","0.60244","1","05-12-2019","2019","6","8969","12","0","0"
"4","0","0.221223","0.237897","1","11-01-2019","2019","2","79387","1","0","0"
"5","0","0.31828","0.322012","2","16-02-2019","2019","3","95964","2","0","0"
"6","1","0.307872","0.308797","2","16-10-2019","2019","3","25229","10","0","0"
"7","0","0.315501","0.322194","1","05-05-2019","2019","3","61632","5","0","0"
"8","0","0.67299","0.670667","3","10-07-2019","2019","7","94852","7","0","0"
"9","0","0.352549","0.333187","2","30-06-2019","2019","3","30348","6","0","0"
"10","0","0.275933","0.271711","1","21-03-2019","2019","3","1884","3","0","0"
"11","0","0.352098","0.344704","1","22-10-2019","2019","3","8633","10","0","0"
"12","0","0.269086","0.262091","1","16-12-2019","2019","3","92945","12","0","0"
"13","0","0.626967","0.608129","1","20-03-2019","2019","6","70262","3","0","0"
"14","0","0.473594","0.485355","4","15-04-2019","2019","5","34589","4","0","0"
"15","0","0.28657","0.295122","3","28-01-2019","2019","3","41342","1","0","0"
"16","0","0.442087","0.449211","3","12-11-2019","2019","4","1343","11","0","0"
"17","1","0.800228","0.795634","1","23-05-2019","2019","8","48645","5","0","0"
"18","1","0.349271","0.36077","4","25-12-2019","2019","4","54593","12","0","0"
"19","0","0.173961","0.158357","2","04-10-2019","2019","2","61313","10","0","0"
"20","0","0.170757","0.152866","2","06-11-2019","2019","2","9192","11","0","0"
"21","0","0.413972","0.432327","3","13-07-2019","2019","4","24521","7","0","0"
"22","0","0.18856","0.179235","3","30-12-2019","2019","2","22411","12","0","0"
"23","1","0.322617","0.332314","1","10-08-2019","2019","3","8724","8","0","0"
"24","1","0.750624","0.744859","3","09-05-2019","2019","7","65343","5","0","0"
"25","1","0.269093","0.249658","2","05-08-2019","2019","2","32858","8","0","0"
"26","1","0.710226","0.721532","2","04-05-2019","2019","7","82445","5","0","0"
"27","0","0.645626","0.660776","4","06-10-2019","2019","7","39806","10","0","0"
"28","0","0.108232","0.126715","4","08-01-2019","2019","1","84455","1","0","0"
"29","1","0.606216","0.608324","1","12-07-2019","2019","6","29072","7","0","0"
"30","0","0.695617","0.690038","3","24-03-2019","2019","7","97203","3","0","0"
"31","0","0.415835","0.418012","3","27-10-2019","2019","4","17904","10","0","0"
"32","1","0.794962","0.78641","2","17-07-2019","2019","8","95366","7","0","0"
"33","1","0.638214","0.63629","4","15-01-2019","2019","6","12545","1","0","0"
"34","1","0.527562","0.513661","3","27-09-2019","2019","5","95105","9","0","0"
"35","1","0.814059","0.814712","3","11-09-2019","2019","8","13901","9","0","0"
"36","0","0.135618","0.147057","2","23-04-2019","2019","1","22803","4","0","0"
"37","0","0.335205","0.332409","4","03-08-2019","2019","3","32054","8","0","0"
"38","0","0.187151","0.18593","2","01-04-2019","2019","2","26716","4","0","0"
"39","0","0.456289","0.473468","4","26-02-2019","2019","5","47479","2","0","0"
"40","1","0.547859","0.536035","3","09-05-2019","2019","5","6582","5","0","0"
"41","0","0.617813","0.63317","2","27-12-2019","2019","6","61190","12","0","0"
"42","1","0.608626","0.59799","4","09-12-2019","2019","6","15116","12","0","0"
"43","0","0.242491","0.22975","4","11-12-2019","2019","2","79411","12","0","0"
"44","1","0.627815","0.620524","2","02-03-2019","2019","6","38982","3","0","0"
"45","0","0.651503","0.639687","4","08-05-2019","2019","6","1199","5","0","0"
"46","1","0.527063","0.525971","1","26-10-2019","2019","5","24861","10","0","0"
"47","1","0.597807","0.601952","4","01-02-2019","2019","6","88777","2","0","0"
"48","0","0.241356","0.227641","3","16-06-2019","2019","2","14876","6","0","0"
"49","1","0.564104","0.563931","3","12-09-2019","2019","6","50792","9","0","0"
"50","1","0.621722","0.632989","1","27-12-2019","2019","6","12478","12","0","0"
"51","0","0.128233","0.125187","3","18-07-2019","2019","1","9465","7","0","0"
"52","0","0.277834","0.28235","4","18-10-2019","2019","3","21294","10","0","0"
"53","1","0.573601","0.593348","1","23-06-2019","2019","6","89524","6","0","0"
"54","1","0.38983","0.389152","3","01-02-2019","2019","4","70284","2","0","0"
"55","1","0.666756","0.665731","4","09-05-2019","2019","7","71606","5","0","0"
"56","1","0.727581","0.743885","2","01-10-2019","2019","7","87070","10","0","0"
"57","1","0.749191","0.732936","4","03-03-2019","2019","7","75024","3","0","0"
"58","0","0.721864","0.703805","2","25-05-2019","2019","7","96367","5","0","0"
"59","0","0.207744","0.211732","2","16-05-2019","2019","2","29056","5","0","0"
"60","1","0.857319","0.852899","2","20-06-2019","2019","9","43358","6","0","0"
"61","0","0.392551","0.401503","1","18-10-2019","2019","4","6103","10","0","0"
"62","1","0.416457","0.416073","2","30-12-2019","2019","4","39498","12","0","0"
"63","0","0.408728","0.401585","2","15-07-2019","2019","4","1173","7","0","0"
"64","1","0.379664","0.377721","3","19-05-2019","2019","4","34763","5","0","0"
"65","0","0.181835","0.188893","3","07-04-2019","2019","2","22277","4","0","0"
"66","0","0.691762","0.692493","1","29-07-2019","2019","7","43501","7","0","0"
"67","1","0.82083","0.811035","4","19-09-2019","2019","8","21394","9","0","0"
"68","1","0.425691","0.421491","4","17-08-2019","2019","4","68881","8","0","0"
"69","1","0.698893","0.703564","3","14-08-2019","2019","7","13991","8","0","0"
"70","1","0.316168","0.319256","3","01-01-2019","2019","3","88156","1","0","0"
"71","1","0.86346","0.875413","2","31-07-2019","2019","9","13388","7","0","0"
"72","1","0.37518","0.369128","2","22-12-2019","2019","4","57905","12","0","0"
"73","0","0.18087","0.200517","3","09-07-2019","2019","2","72901","7","0","0"
"74","1","0.50125","0.484066","4","16-09-2019","2019","5","9938","9","0","0"
"75","0","0.477128","0.481738","4","15-09-2019","2019","5","98226","9","0","0"
"76","0","0.270944","0.260863","3","21-09-2019","2019","3","63784","9","0","0"
"77","0","0.118169","0.137895","3","29-07-2019","2019","1","47372","7","0","0"
"78","0","0.649528","0.662298","1","13-07-2019","2019","7","17252","7","0","0"
"79","0","0.738819","0.745973","3","15-07-2019","2019","7","88293","7","0","0"
"80","0","0.764139","0.779744","4","17-05-2019","2019","8","5561","5","0","0"
"81","0","0.283412","0.268271","3","24-06-2019","2019","3","91508","6","0","0"
"82","0","0.628324","0.633647","3","21-07-2019","2019","6","67560","7","0","0"
"83","1","0.378555","0.373771","1","22-10-2019","2019","4","37683","10","0","0"
"84","0","0.248634","0.240447","1","03-10-2019","2019","2","86114","10","0","0"
"85","1","0.649175","0.652294","2","16-04-2019","2019","7","13527","4","0","0"
"86","0","0.246918","0.247646","1","23-09-2019","2019","2","66135","9","0","0"
"87","1","0.658631","0.664519","4","07-01-2019","2019","7","90167","1","0","0"
"88","0","0.818456","0.82236","3","15-12-2019","2019","8","47516","12","0","0"
"89","0","0.276697","0.259504","1","24-08-2019","2019","3","99459","8","0","0"
"90","0","0.180827","0.161882","4","27-05-2019","2019","2","92071","5","0","0"
"91","1","0.880003","0.86753","2","12-11-2019","2019","9","78688","11","0","0"
"92","0","0.406348","0.400776","4","18-01-2019","2019","4","44821","1","0","0"
"93","1","0.647576","0.658541","2","19-02-2019","2019","7","71099","2","0","0"
"94","1","0.761298","0.76955","2","09-10-2019","2019","8","45628","10","0","0"
"95","1","0.653652","0.646075","1","24-07-2019","2019","6","13014","7","0","0"
"96","0","0.403394","0.412065","3","21-06-2019","2019","4","31532","6","0","0"
"97","0","0.34714","0.361618","4","16-09-2019","2019","4","60119","9","0","0"
"98","1","0.814348","0.799455","4","18-01-2019","2019","8","75318","1","0","0"
"99","1","0.769822","0.771641","1","29-01-2019","2019","8","49845","1","0","0"
"100","1","0.553365","0.555719","3","15-07-2019","2019","6","14160","7","0","0"
"101","1","0.305854","0.287298","3","12-09-2019","2019","3","45122","9","0","0"
"102","0","0.140841","0.132267","3","22-04-2019","2019","1","69934","4","0","0"
"103","0","0.192595","0.206123","1","06-10-2019","2019","2","26930","10","0","0"
"104","0","0.22526","0.232216","2","13-06-2019","2019","2","41897","6","0","0"
"105","0","0.661625","0.679973","2","13-10-2019","2019","7","87702","10","0","0"
"106","0","0.487975","0.475564","1","22-05-2019","2019","5","86466","5","0","0"
"107","1","0.760389","0.74682","4","30-04-2019","2019","7","93422","4","0","0"
"108","0","0.183591","0.198987","1","22-06-2019","2019","2","84263","6","0","0"
"109","1","0.768991","0.761215","3","27-01-2019","2019","8","46080","1","0","0"
"110","1","0.733016","0.745482","1","06-07-2019","2019","7","62751","7","0","0"
"111","0","0.333192","0.323733","4","10-03-2019","2019","3","54180","3","0","0"
"112","0","0.283131","0.281491","3","17-11-2019","2019","3","11476","11","0","0"
"113","1","0.764683","0.778719","3","02-07-2019","2019","8","98969","7","0","0"
"114","0","0.57039","0.554457","4","12-11-2019","2019","6","42501","11","0","0"
"115","1","0.68573","0.677217","1","01-03-2019","2019","7","82477","3","0","0"
"116","0","0.289405","0.276466","3","31-03-2019","2019","3","49944","3","0","0"
"117","0","0.143165","0.15046","3","03-01-2019","2019","2","9490","1","0","0"
"118","0","0.121057","0.132966","3","20-11-2019","2019","1","6210","11","0","0"
"119","1","0.229775","0.237194","4","30-10-2019","2019","2","11422","10","0","0"
"120","1","0.732777","0.75262","2","12-06-2019","2019","8","79004","6","0","0"
"121","0","0.402988","0.394416","2","30-06-2019","2019","4","39387","6","0","0"
"122","0","0.205818","0.200569","3","17-11-2019","2019","2","45280","11","0","0"
"123","0","0.17602","0.186609","2","16-12-2019","2019","2","65064","12","0","0"
"124","1","0.779468","0.797537","3","12-12-2019","2019","8","14624","12","0","0"
"125","0","0.824392","0.80842","4","28-11-2019","2019","8","35614","11","0","0"
"126","0","0.647884","0.660765","4","14-07-2019","2019","7","42364","7","0","0"
"127","1","0.545876","0.540917","4","30-01-2019","2019","5","28283","1","0","0"
"128","1","0.621552","0.602423","3","17-04-2019","2019","6","96834","4","0","0"
"129","1","0.741901","0.728931","3","16-03-2019","2019","7","68892","3","0","0"
"130","1","0.406557","0.409829","1","12-12-2019","2019","4","8639","12","0","0"
"131","0","0.711867","0.714922","3","07-12-2019","2019","7","34341","12","0","0"
"132","1","0.397019","0.388898","3","15-09-2019","2019","4","56895","9","0","0"
"133","1","0.54098","0.548068","1","29-08-2019","2019","5","14360","8","0","0"
"134","0","0.443591","0.426561","1","24-12-2019","2019","4","92778","12","0","0"
"135","0","0.206677","0.188133","4","04-12-2019","2019","2","24802","12","0","0"
"136","1","0.840593","0.859638","3","26-05-2019","2019","9","44626","5","0","0"
"137","0","0.375767","0.368863","1","04-07-2019","2019","4","77909","7","0","0"
"138","0","0.485483","0.479989","4","30-04-2019","2019","5","37130","4","0","0"
"139","0","0.564228","0.564294","3","09-10-2019","2019","6","7257","10","0","0"
"140","0","0.255041","0.243691","3","22-01-2019","2019","2","67411","1","0","0"
"141","1","0.829318","0.813521","3","07-02-2019","2019","8","96762","2","0","0"
"142","1","0.871136","0.863885","3","27-02-2019","2019","9","18501","2","0","0"
"143","1","0.327842","0.328085","4","29-05-2019","2019","3","1604","5","0","0"
"144","1","0.796594","0.812263","4","30-11-2019","2019","8","87030","11","0","0"
"145","0","0.134137","0.135495","2","25-12-2019","2019","1","72278","12","0","0"
"146","1","0.532606","0.539009","2","20-01-2019","2019","5","44341","1","0","0"
"147","0","0.197816","0.214454","4","18-10-2019","2019","2","37538","10","0","0"
"148","1","0.54502","0.544716","4","03-06-2019","2019","5","40330","6","0","0"
"149","1","0.831336","0.842462","1","22-09-2019","2019","8","2796","9","0","0"
"150","1","0.58411","0.591838","4","16-01-2019","2019","6","67102","1","0","0"
"151","1","0.47154","0.486288","4","18-06-2019","2019","5","26858","6","0","0"
"152","1","0.221979","0.235458","3","29-06-2019","2019","2","28525","6","0","0"
"153","0","0.298414","0.299235","2","10-04-2019","2019","3","11511","4","0","0"
"154","1","0.64759","0.661061","3","16-08-2019","2019","7","72066","8","0","0"
"155","1","0.183188","0.175031","1","18-08-2019","2019","2","6205","8","0","0"
"156","0","0.149008","0.149731","3","21-09-2019","2019","1","67387","9","0","0"
"157","0","0.372592","0.389308","4","06-05-2019","2019","4","16588","5","0","0"
"158","0","0.679302","0.671259","4","13-11-2019","2019","7","6647","11","0","0"
"159","0","0.308651","0.292438","2","28-07-2019","2019","3","38942","7","0","0"
"160","1","0.260986","0.277179","2","18-05-2019","2019","3","91534","5","0","0"
"161","1","0.22221","0.234987","4","03-07-2019","2019","2","61565","7","0","0"
"162","1","0.583519","0.584891","4","14-01-2019","2019","6","48462","1","0","0"
"163","1","0.699122","0.687367","2","17-12-2019","2019","7","21582","12","0","0"
"164","1","0.785103","0.772658","1","19-06-2019","2019","8","89045","6","0","0"
"165","0","0.397808","0.411963","2","21-05-2019","2019","4","64188","5","0","0"
"166","0","0.178869","0.173489","1","22-06-2019","2019","2","21027","6","0","0"
"167","0","0.136236","0.119654","4","26-04-2019","2019","1","8131","4","0","0"
